fill	x	y	group	xmin	xmax	ymin	ymax
#132B43	36	23	-1	35.5	36.5	22.5	23.5
#132B43	37	23	-1	36.5	37.5	22.5	23.5
#132B43	38	23	-1	37.5	38.5	22.5	23.5
#132B43	24	24	-1	23.5	24.5	23.5	24.5
#142D46	28	24	-1	27.5	28.5	23.5	24.5
#132B43	30	24	-1	29.5	30.5	23.5	24.5
#132C44	31	24	-1	30.5	31.5	23.5	24.5
#142D45	32	24	-1	31.5	32.5	23.5	24.5
#142D46	33	24	-1	32.5	33.5	23.5	24.5
#142D45	34	24	-1	33.5	34.5	23.5	24.5
#132C44	35	24	-1	34.5	35.5	23.5	24.5
